"","Member","parliament_group","ideo_avg","tweets","Region","Party"
"868","Owen Paterson","2019-2024",0.34066985645933,1045,"North Shropshire","Conservative"
"869","Owen Thompson","2017-2019",-0.227624784853701,2324,"Midlothian","Scottish National Party"
"870","Owen Thompson","2019-2024",-0.417094815506773,2141,"Midlothian","Scottish National Party"
"871","Pat McFadden","2017-2019",-0.56547619047619,1008,"Wolverhampton South East","Labour"
"872","Pat McFadden","2019-2024",-0.688709677419355,1240,"Wolverhampton South East","Labour"
"873","Patricia Gibson","2017-2019",-0.591185410334346,658,"North Ayrshire and Arran","Scottish National Party"
"874","Patricia Gibson","2019-2024",-0.690063810391978,1097,"North Ayrshire and Arran","Scottish National Party"
"875","Patrick Grady","2017-2019",-0.639883833494676,1033,"Glasgow North","Scottish National Party"
"876","Patrick Grady","2019-2024",-0.629955947136564,454,"Glasgow North","Scottish National Party"
"877","Patrick McLoughlin","2017-2019",0.337078651685393,89,"Derbyshire Dales","Conservative"
"878","Paul Blomfield","2017-2019",-0.696011004126547,727,"Sheffield Central","Labour"
"879","Paul Blomfield","2019-2024",-0.779888268156425,895,"Sheffield Central","Labour"
"880","Paul Bristow","2019-2024",0.0319110792398709,2789,"Peterborough","Conservative"
"881","Paul Flynn","2017-2019",-0.680288461538462,416,"Newport West","Labour"
"882","Paul Girvan","2017-2019",0.102040816326531,98,"South Antrim","Democratic Unionist Party"
"883","Paul Girvan","2019-2024",-0.169014084507042,71,"South Antrim","Democratic Unionist Party"
"884","Paul Holmes","2019-2024",-0.0773506252894859,2159,"Eastleigh","Conservative"
"885","Paul Howell","2019-2024",-0.0674578388507183,1601,"Sedgefield","Conservative"
"886","Paul Maskey","2017-2019",-0.525730180806676,719,"Belfast West","Sinn Féin"
"887","Paul Maskey","2019-2024",-0.618506493506494,616,"Belfast West","Sinn Féin"
"888","Paul Masterton","2017-2019",0,3,"East Renfrewshire","Scottish National Party"
"889","Paul Maynard","2017-2019",0.0487804878048781,41,"Blackpool North and Cleveleys","Conservative"
"890","Paul Maynard","2019-2024",-0.108695652173913,46,"Blackpool North and Cleveleys","Conservative"
"891","Paul Scully","2017-2019",0.0370201096892139,2188,"Sutton and Cheam","Conservative"
"892","Paul Scully","2019-2024",-0.156339370829361,2098,"Sutton and Cheam","Conservative"
"893","Paul Sweeney","2017-2019",-0.6,5585,"Glasgow North East","Scottish National Party"
"894","Paul Williams","2017-2019",-0.740601503759398,532,"Stockton South","Labour"
"895","Paula Barker","2019-2024",-0.774800868935554,2762,"Liverpool, Wavertree","Labour"
"896","Paula Sherriff","2017-2019",-0.894736842105263,38,"Dewsbury","Labour"
"897","Paulette Hamilton","2019-2024",-0.690909090909091,165,"Birmingham Erdington","Labour"
"898","Pauline Latham","2017-2019",-0.223880597014925,201,"Mid Derbyshire","Conservative"
"899","Pauline Latham","2019-2024",-0.322522522522523,555,"Mid Derbyshire","Conservative"
"900","Penny Mordaunt","2017-2019",-0.125799573560768,938,"Portsmouth North","Conservative"
"901","Penny Mordaunt","2019-2024",-0.0581521739130435,1840,"Portsmouth North","Conservative"
"902","Pete Wishart","2017-2019",-0.60712266817411,5307,"Perth and North Perthshire","Scottish National Party"
"903","Pete Wishart","2019-2024",-0.633120161561764,8913,"Perth and North Perthshire","Scottish National Party"
"904","Peter Aldous","2017-2019",-0.428571428571429,28,"Waveney","Conservative"
"905","Peter Aldous","2019-2024",-0.419354838709677,155,"Waveney","Conservative"
"906","Peter Bone","2017-2019",0.377358490566038,106,"Wellingborough","Conservative"
"907","Peter Bone","2019-2024",0.25,300,"Wellingborough","Conservative"
"908","Peter Bottomley","2019-2024",-0.444078947368421,608,"Worthing West","Conservative"
"909","Peter Dowd","2017-2019",-0.757241379310345,725,"Bootle","Labour"
"910","Peter Dowd","2019-2024",-0.775320139697322,859,"Bootle","Labour"
"911","Peter Gibson","2019-2024",0.00512820512820513,585,"Darlington","Conservative"
"912","Peter Grant","2017-2019",-0.586962294211365,7532,"Glenrothes","Scottish National Party"
"913","Peter Grant","2019-2024",-0.678279229348113,3789,"Glenrothes","Scottish National Party"
"914","Peter Heaton-Jones","2017-2019",-0.0677165354330709,635,"North Devon","Conservative"
"915","Peter Kyle","2017-2019",-0.677732379979571,1958,"Hove","Labour"
"916","Peter Kyle","2019-2024",-0.708819975835683,2483,"Hove","Labour"
"917","Phil Wilson","2017-2019",-0.747612551159618,733,"Sedgefield","Labour"
"918","Philip Davies","2017-2019",0.264705882352941,34,"Shipley","Conservative"
"919","Philip Davies","2019-2024",0.0153846153846154,65,"Shipley","Conservative"
"920","Philip Dunne","2017-2019",0.0218068535825545,642,"Ludlow","Conservative"
"921","Philip Dunne","2019-2024",-0.267386091127098,834,"Ludlow","Conservative"
"922","Philip Hammond","2017-2019",0.135458167330677,502,"Runnymede and Weybridge","Conservative"
"923","Philippa Whitford","2017-2019",-0.642796729630674,3547,"Central Ayrshire","Scottish National Party"
"924","Philippa Whitford","2019-2024",-0.664093959731544,2980,"Central Ayrshire","Scottish National Party"
"925","Phillip Lee","2017-2019",-0.548632218844985,658,"Bracknell","Conservative"
"926","Preet Gill","2017-2019",-0.607128226136829,2441,"Birmingham, Edgbaston","Labour"
"927","Preet Gill","2019-2024",-0.797171566803126,5374,"Birmingham, Edgbaston","Labour"
"928","Priti Patel","2017-2019",0.361075544174136,781,"Witham","Conservative"
"929","Priti Patel","2019-2024",0.236363636363636,1265,"Witham","Conservative"
"930","Rachael Maskell","2017-2019",-0.731520815632965,1177,"York Central","Labour"
"931","Rachael Maskell","2019-2024",-0.778301886792453,2332,"York Central","Labour"
"932","Rachel Hopkins","2019-2024",-0.814363968350578,3286,"Luton South","Labour"
"933","Rachel Maclean","2017-2019",0.0578158458244111,2335,"Redditch","Conservative"
"934","Rachel Maclean","2019-2024",-0.0592697961119014,2109,"Redditch","Conservative"
"935","Rachel Reeves","2017-2019",-0.728726807421625,1563,"Leeds West","Labour"
"936","Rachel Reeves","2019-2024",-0.868520859671302,3165,"Leeds West","Labour"
"937","Ranil Jayawardena","2017-2019",0.0457516339869281,306,"North East Hampshire","Conservative"
"938","Ranil Jayawardena","2019-2024",-0.0110497237569061,181,"North East Hampshire","Conservative"
"939","Rebecca Harris","2017-2019",0.214285714285714,14,"Castle Point","Conservative"
"940","Rebecca Harris","2019-2024",0.0769230769230769,13,"Castle Point","Conservative"
"941","Rebecca Long-Bailey","2017-2019",-0.911633109619687,894,"Salford and Eccles","Labour"
"942","Rebecca Long-Bailey","2019-2024",-0.849022004889976,1636,"Salford and Eccles","Labour"
"943","Rebecca Pow","2017-2019",-0.159731543624161,745,"Taunton Deane","Conservative"
"944","Rebecca Pow","2019-2024",-0.303769401330377,902,"Taunton Deane","Conservative"
"945","Rehman Chishti","2017-2019",0.144827586206897,1160,"Gillingham and Rainham","Conservative"
"946","Rehman Chishti","2019-2024",-0.0238543628374137,1593,"Gillingham and Rainham","Conservative"
"947","Richard Bacon","2017-2019",0.428571428571429,7,"South Norfolk","Conservative"
"948","Richard Bacon","2019-2024",0.375,16,"South Norfolk","Conservative"
"949","Richard Benyon","2017-2019",-0.178051511758119,893,"Newbury","Conservative"
"950","Richard Burden","2017-2019",-0.719321148825065,766,"Birmingham, Northfield","Labour"
"951","Richard Burgon","2017-2019",-0.843092105263158,3040,"Leeds East","Labour"
"952","Richard Burgon","2019-2024",-0.948271967472329,4427,"Leeds East","Labour"
"953","Richard Foord","2019-2024",-0.704873646209386,1108,"Tiverton and Honiton","Liberal Democrats"
"954","Richard Gordon Thomson","2019-2024",-0.629790940766551,1148,"Gordon","Scottish National Party"
"955","Richard Graham","2017-2019",-0.0892045454545455,1760,"Gloucester","Conservative"
"956","Richard Graham","2019-2024",-0.223880597014925,1742,"Gloucester","Conservative"
"957","Richard Harrington","2017-2019",-0.0929203539823009,226,"Watford","Conservative"
"958","Richard Holden","2019-2024",0.223918575063613,2751,"North West Durham","Conservative"
"959","Rishi Sunak","2017-2019",0.909090909090909,11,"Richmond (Yorks)","Conservative"
"960","Rishi Sunak","2019-2024",0.104985618408437,2086,"Richmond (Yorks)","Conservative"
"961","Rob Butler","2019-2024",0.125,32,"Aylesbury","Conservative"
"962","Robbie Moore","2019-2024",-0.0267246737103791,1609,"Keighley","Conservative"
"963","Robert Buckland","2017-2019",0.0670498084291188,522,"South Swindon","Conservative"
"964","Robert Buckland","2019-2024",-0.0361544782251438,1217,"South Swindon","Conservative"
"965","Robert Courts","2017-2019",0.0472727272727273,825,"Witney","Conservative"
"966","Robert Courts","2019-2024",0.0200892857142857,896,"Witney","Conservative"
"967","Robert Halfon","2017-2019",-0.116866438356164,4672,"Harlow","Conservative"
"968","Robert Halfon","2019-2024",-0.237866531850354,3956,"Harlow","Conservative"
"969","Robert Jenrick","2017-2019",0.209677419354839,1178,"Newark","Conservative"
"970","Robert Jenrick","2019-2024",0.0458776595744681,1504,"Newark","Conservative"
"971","Robert Largan","2019-2024",-0.180318856514568,1819,"High Peak","Conservative"
"972","Robert Neill","2017-2019",-0.146216768916155,978,"Bromley and Chislehurst","Conservative"
"973","Robert Neill","2019-2024",-0.261160714285714,896,"Bromley and Chislehurst","Conservative"
"974","Robert Syms","2017-2019",0.382671480144404,554,"Poole","Conservative"
"975","Robert Syms","2019-2024",0.122699386503067,1141,"Poole","Conservative"
"976","Roberta Blackman-Woods","2017-2019",-0.792181069958848,972,"City of Durham","Labour"
"977","Robin John Millar","2019-2024",0.0546719681908549,1006,"Aberconwy","Conservative"
"978","Robin Walker","2017-2019",0.0585106382978723,752,"Worcester","Conservative"
"979","Robin Walker","2019-2024",-0.0972515856236787,473,"Worcester","Conservative"
"980","Roger Gale","2017-2019",0.202614379084967,306,"North Thanet","Conservative"
"981","Roger Gale","2019-2024",-0.267419962335217,531,"North Thanet","Conservative"
"982","Roger Godsiff","2017-2019",-0.807142857142857,140,"Birmingham, Hall Green","Labour"
"983","Ronnie Campbell","2017-2019",0.382352941176471,34,"Blyth Valley","Labour"
"984","Ronnie Cowan","2017-2019",-0.652488687782805,1105,"Inverclyde","Scottish National Party"
"985","Ronnie Cowan","2019-2024",-0.606804238706079,1793,"Inverclyde","Scottish National Party"
"986","Rory Stewart","2017-2019",-0.211592836946277,2122,"Penrith and The Border","Conservative"
"987","Rosena Allin-Khan","2017-2019",-0.770392749244713,1324,"Tooting","Labour"
"988","Rosena Allin-Khan","2019-2024",-0.784446764091858,3832,"Tooting","Labour"
"989","Rosie Cooper","2017-2019",-0.457142857142857,70,"West Lancashire","Labour"
"990","Rosie Cooper","2019-2024",-0.0142857142857143,70,"West Lancashire","Labour"
"991","Rosie Duffield","2017-2019",-0.769927536231884,1656,"Canterbury","Labour"
"992","Rosie Duffield","2019-2024",-0.60861334595362,2113,"Canterbury","Labour"
"993","Ross Thomson","2017-2019",0.260200153964588,1299,"Aberdeen South","Scottish National Party"
"994","Royston Smith","2017-2019",0.170900692840647,433,"Southampton, Itchen","Conservative"
"995","Royston Smith","2019-2024",-0.0192307692307692,312,"Southampton, Itchen","Conservative"
"996","Rupa Huq","2017-2019",-0.681193561052218,2547,"Ealing Central and Acton","Labour"
"997","Rupa Huq","2019-2024",-0.611379800853485,3515,"Ealing Central and Acton","Labour"
"998","Rushanara Ali","2017-2019",-0.753623188405797,483,"Bethnal Green and Bow","Labour"
"999","Rushanara Ali","2019-2024",-0.716073147256978,1039,"Bethnal Green and Bow","Labour"
"1000","Ruth Cadbury","2017-2019",-0.734845522096206,2557,"Brentford and Isleworth","Labour"
"1001","Ruth Cadbury","2019-2024",-0.746514869888476,4304,"Brentford and Isleworth","Labour"
"1002","Ruth Edwards","2019-2024",-0.0253164556962025,79,"Rushcliffe","Conservative"
"1003","Ruth George","2017-2019",-0.740740740740741,81,"High Peak","Conservative"
"1004","Ruth Jones","2017-2019",-0.704787234042553,376,"Newport West","Labour"
"1005","Ruth Jones","2019-2024",-0.728599867285999,1507,"Newport West","Labour"
"1006","Ruth Smeeth","2017-2019",-0.712574850299401,334,"Stoke-on-Trent North","Labour"
"1007","Sajid Javid","2017-2019",0.125211505922166,1182,"Bromsgrove","Conservative"
"1008","Sajid Javid","2019-2024",-0.157249829816202,1469,"Bromsgrove","Conservative"
"1009","Sally-Ann Hart","2019-2024",-0.272859216255443,689,"Hastings and Rye","Conservative"
"1010","Sam Gyimah","2017-2019",-0.244738893219018,1283,"East Surrey","Conservative"
"1011","Sam Tarry","2019-2024",-0.858565737051793,2008,"Ilford South","Labour"
"1012","Samantha Dixon","2019-2024",-0.484848484848485,99,"City of Chester","Labour"
"1013","Sammy Wilson","2017-2019",0.403614457831325,332,"East Antrim","Democratic Unionist Party"
"1014","Sammy Wilson","2019-2024",0.158102766798419,759,"East Antrim","Democratic Unionist Party"
"1015","Sandy Martin","2017-2019",-0.751642575558476,761,"Ipswich","Conservative"
"1016","Saqib Bhatti","2019-2024",0.0223463687150838,537,"Meriden","Conservative"
"1017","Sara Britcliffe","2019-2024",0.00581395348837209,172,"Hyndburn","Conservative"
"1018","Sarah Champion","2017-2019",-0.60846707249585,3614,"Rotherham","Labour"
"1019","Sarah Champion","2019-2024",-0.658791302859099,5841,"Rotherham","Labour"
"1020","Sarah Dines","2019-2024",0.0622796709753232,851,"Derbyshire Dales","Conservative"
"1021","Sarah Dyke","2019-2024",-0.673469387755102,392,"Somerton and Frome","Liberal Democrats"
"1022","Sarah Edwards","2019-2024",-0.636986301369863,146,"Tamworth","Labour"
"1023","Sarah Green","2019-2024",-0.56,275,"Chesham and Amersham","Liberal Democrats"
"1024","Sarah Jones","2017-2019",-0.737704918032787,1159,"Croydon Central","Labour"
"1025","Sarah Jones","2019-2024",-0.669191919191919,1584,"Croydon Central","Labour"
"1026","Sarah Newton","2017-2019",-0.283582089552239,134,"Truro and Falmouth","Conservative"
"1027","Sarah Olney","2019-2024",-0.650655021834061,2061,"Richmond Park","Liberal Democrats"
"1028","Sarah Owen","2019-2024",-0.806135492117597,2347,"Luton North","Labour"
"1029","Scott Benton","2019-2024",0.16,25,"Blackpool South","Conservative"
"1030","Scott Lloyd Benton","2019-2024",0.179841897233202,1012,"Blackpool South","Conservative"
"1031","Scott Mann","2017-2019",0.345794392523364,107,"North Cornwall","Conservative"
"1032","Scott Mann","2019-2024",0.129554655870445,247,"North Cornwall","Conservative"
"1033","Seema Kennedy","2017-2019",-0.0293159609120521,307,"South Ribble","Conservative"
"1034","Seema Malhotra","2017-2019",-0.609880749574106,1174,"Feltham and Heston","Labour"
"1035","Seema Malhotra","2019-2024",-0.743214131839724,2321,"Feltham and Heston","Labour"
"1036","Selaine Saxby","2019-2024",-0.125472671020969,2909,"North Devon","Conservative"
"1037","Shabana Mahmood","2017-2019",-0.696048632218845,329,"Birmingham, Ladywood","Labour"
"1038","Shabana Mahmood","2019-2024",-0.696190476190476,1050,"Birmingham, Ladywood","Labour"
"1039","Shailesh Vara","2017-2019",0.322222222222222,270,"North West Cambridgeshire","Conservative"
"1040","Shailesh Vara","2019-2024",0.103343465045593,329,"North West Cambridgeshire","Conservative"
"1041","Sharon Hodgson","2017-2019",-0.705191594561187,1618,"Washington and Sunderland West","Labour"
"1042","Sharon Hodgson","2019-2024",-0.737696335078534,1910,"Washington and Sunderland West","Labour"
"1043","Shaun Bailey","2019-2024",0.126811594202899,276,"West Bromwich West","Conservative"
"1044","Sheryll Murray","2017-2019",0.268722466960352,454,"South East Cornwall","Conservative"
"1045","Sheryll Murray","2019-2024",0.142405063291139,316,"South East Cornwall","Conservative"
"1046","Simon Baynes","2019-2024",0.116303219106957,963,"Clwyd South","Conservative"
"1047","Simon Clarke","2017-2019",0.245775729646697,1953,"Middlesbrough South and East Cleveland","Conservative"
"1048","Simon Clarke","2019-2024",0.207591933570581,2529,"Middlesbrough South and East Cleveland","Conservative"
"1049","Simon Fell","2019-2024",-0.0898071625344353,1815,"Barrow and Furness","Conservative"
"1050","Simon Hart","2017-2019",-0.0121065375302663,413,"Carmarthen West and South Pembrokeshire","Conservative"
"1051","Simon Hart","2019-2024",0.104895104895105,429,"Carmarthen West and South Pembrokeshire","Conservative"
"1052","Simon Hoare","2017-2019",-0.00623052959501558,1284,"North Dorset","Conservative"
"1053","Simon Hoare","2019-2024",-0.144937586685159,1442,"North Dorset","Conservative"
"1054","Simon Jupp","2019-2024",-0.0678307588985897,1489,"East Devon","Conservative"
"1055","Simon Lightwood","2019-2024",-0.736089030206677,629,"Wakefield","Labour"
"1056","Siobhain McDonagh","2017-2019",-0.613827160493827,2025,"Mitcham and Morden","Labour"
"1057","Siobhain McDonagh","2019-2024",-0.669600938967136,1704,"Mitcham and Morden","Labour"
"1058","Siobhan Baillie","2019-2024",-0.161716171617162,606,"Stroud","Conservative"
"1059","Stella Creasy","2017-2019",-0.708531557247066,6306,"Walthamstow","Labour"
"1060","Stella Creasy","2019-2024",-0.73631341034656,3982,"Walthamstow","Labour"
"1061","Stephanie Peacock","2017-2019",-0.659176029962547,801,"Barnsley East","Labour"
"1062","Stephanie Peacock","2019-2024",-0.635184224182667,1927,"Barnsley East","Labour"
"1063","Stephen Barclay","2017-2019",0.360742705570292,377,"North East Cambridgeshire","Conservative"
"1064","Stephen Barclay","2019-2024",0.0121278941565601,907,"North East Cambridgeshire","Conservative"
"1065","Stephen Crabb","2017-2019",0.0294117647058824,340,"Preseli Pembrokeshire","Conservative"
"1066","Stephen Crabb","2019-2024",-0.107758620689655,464,"Preseli Pembrokeshire","Conservative"
"1067","Stephen Doughty","2017-2019",-0.744891826923077,3328,"Cardiff South and Penarth","Labour"
"1068","Stephen Doughty","2019-2024",-0.69971181556196,1735,"Cardiff South and Penarth","Labour"
"1069","Stephen Farry","2019-2024",-0.616502946954813,2546,"North Down","Alliance Party of Northern Ireland"
"1070","Stephen Flynn","2019-2024",-0.692589204025618,1093,"Aberdeen South","Scottish National Party"
"1071","Stephen Gethins","2017-2019",-0.651948051948052,385,"North East Fife","Scottish National Party"
"1072","Stephen Hammond","2017-2019",-0.0765696784073507,653,"Wimbledon","Conservative"
"1073","Stephen Hammond","2019-2024",-0.158345221112696,701,"Wimbledon","Conservative"
"1074","Stephen Hepburn","2017-2019",-0.721153846153846,208,"Jarrow","Labour"
"1075","Stephen Kerr","2017-2019",0.165867689357622,1043,"Stirling","Scottish National Party"
"1076","Stephen Kinnock","2017-2019",-0.577961672473868,2296,"Aberavon","Labour"
"1077","Stephen Kinnock","2019-2024",-0.82912723449001,1902,"Aberavon","Labour"
"1078","Stephen McPartland","2017-2019",-0.0131578947368421,228,"Stevenage","Conservative"
"1079","Stephen McPartland","2019-2024",-0.23047619047619,525,"Stevenage","Conservative"
"1080","Stephen Metcalfe","2017-2019",0.0276497695852535,217,"South Basildon and East Thurrock","Conservative"
"1081","Stephen Metcalfe","2019-2024",-0.00292397660818713,342,"South Basildon and East Thurrock","Conservative"
"1082","Stephen Morgan","2017-2019",-0.618156293869911,2137,"Portsmouth South","Labour"
"1083","Stephen Morgan","2019-2024",-0.723501253704126,4387,"Portsmouth South","Labour"
"1084","Stephen Timms","2017-2019",-0.521994134897361,341,"East Ham","Labour"
"1085","Stephen Timms","2019-2024",-0.597701149425287,609,"East Ham","Labour"
"1086","Stephen Twigg","2017-2019",-0.538745387453875,542,"Liverpool West Derby","Labour"
"1087","Steve Brine","2017-2019",-0.140316205533597,506,"Winchester","Conservative"
"1088","Steve Brine","2019-2024",-0.143928035982009,667,"Winchester","Conservative"
"1089","Steve Double","2017-2019",0.0724508050089445,1118,"St Austell and Newquay","Conservative"
"1090","Steve Double","2019-2024",-0.052434456928839,534,"St Austell and Newquay","Conservative"
"1091","Steve McCabe","2017-2019",-0.649045521292217,681,"Birmingham, Selly Oak","Labour"
"1092","Steve McCabe","2019-2024",-0.589026915113872,966,"Birmingham, Selly Oak","Labour"
"1093","Steve Reed","2017-2019",-0.869041887337506,2077,"Croydon North","Labour"
"1094","Steve Reed","2019-2024",-0.866920152091255,1578,"Croydon North","Labour"
"1095","Steve Tuckwell","2019-2024",0.334365325077399,323,"Uxbridge and South Ruislip","Conservative"
"1096","Steven Baker","2017-2019",0.286206896551724,2320,"Wycombe","Conservative"
"1097","Steven Baker","2019-2024",0.0266257040450589,3906,"Wycombe","Conservative"
"1098","Steven Bonnar","2019-2024",-0.715254237288136,590,"Coatbridge, Chryston and Bellshill","Scottish National Party"
"1099","Stewart Hosie","2017-2019",-0.84375,384,"Dundee East","Scottish National Party"
"1100","Stewart Hosie","2019-2024",-0.767908309455587,349,"Dundee East","Scottish National Party"
"1101","Stewart Malcolm McDonald","2017-2019",-0.618682399213373,5085,"Glasgow South","Scottish National Party"
"1102","Stewart Malcolm McDonald","2019-2024",-0.542050142811806,6302,"Glasgow South","Scottish National Party"
"1103","Stuart Andrew","2017-2019",0.193798449612403,129,"Pudsey","Conservative"
"1104","Stuart Andrew","2019-2024",-0.111256544502618,764,"Pudsey","Conservative"
"1105","Stuart C. McDonald","2017-2019",-0.767225325884544,537,"Cumbernauld, Kilsyth and Kirkintilloch East","Scottish National Party"
"1106","Stuart C. McDonald","2019-2024",-0.830798479087453,526,"Cumbernauld, Kilsyth and Kirkintilloch East","Scottish National Party"
"1107","Stuart Paul Anderson","2019-2024",-0.0426267281105991,868,"Wolverhampton South West","Conservative"
"1108","Sue Hayman","2017-2019",-0.73421926910299,301,"Workington","Labour"
"1109","Suella Braverman","2017-2019",0.460992907801418,282,"Fareham","Conservative"
"1110","Suella Braverman","2019-2024",0.425141242937853,708,"Fareham","Conservative"
"1111","Suzanne Webb","2019-2024",0.123152709359606,406,"Stourbridge","Conservative"
"1112","Tahir Ali","2019-2024",-0.881450488145049,717,"Birmingham, Hall Green","Labour"
"1113","Taiwo Owatemi","2019-2024",-0.734539335296592,2377,"Coventry North West","Labour"
"1114","Tanmanjit Singh Dhesi","2017-2019",-0.587108013937282,1722,"Slough","Labour"
"1115","Tanmanjit Singh Dhesi","2019-2024",-0.757552870090634,2648,"Slough","Labour"
"1116","Teresa Pearce","2017-2019",-0.375,544,"Erith and Thamesmead","Labour"
"1117","Thangam Debbonaire","2017-2019",-0.722593320235756,5090,"Bristol West","Labour"
"1118","Thangam Debbonaire","2019-2024",-0.725897359833877,3371,"Bristol West","Labour"
"1119","Thelma Walker","2017-2019",-0.691329479768786,1730,"Colne Valley","Conservative"
"1120","Theo Clarke","2019-2024",-0.0421455938697318,783,"Stafford","Conservative"
"1121","Theresa May","2017-2019",0.0229709035222052,653,"Maidenhead","Conservative"
"1122","Theresa May","2019-2024",-0.294736842105263,95,"Maidenhead","Conservative"
"1123","Therese Coffey","2017-2019",0.0455172413793103,725,"Suffolk Coastal","Conservative"
"1124","Therese Coffey","2019-2024",0.0703575547866205,867,"Suffolk Coastal","Conservative"
"1125","Tim Farron","2017-2019",-0.598937583001328,1506,"Westmorland and Lonsdale","Liberal Democrats"
"1126","Tim Farron","2019-2024",-0.630434782608696,4002,"Westmorland and Lonsdale","Liberal Democrats"
"1127","Tim Loughton","2017-2019",-0.0485689505637468,1153,"East Worthing and Shoreham","Conservative"
"1128","Tim Loughton","2019-2024",-0.0927105449398443,1413,"East Worthing and Shoreham","Conservative"
"1129","Tobias Ellwood","2017-2019",0.0751565762004175,479,"Bournemouth East","Conservative"
"1130","Tobias Ellwood","2019-2024",-0.0223765432098765,1296,"Bournemouth East","Conservative"
"1131","Toby Perkins","2017-2019",-0.467650397275823,1762,"Chesterfield","Labour"
"1132","Toby Perkins","2019-2024",-0.607900943396226,3392,"Chesterfield","Labour"
"1133","Tom Brake","2017-2019",-0.855265738380074,5099,"Carshalton and Wallington","Liberal Democrats"
"1134","Tom Hunt","2019-2024",0.0466200466200466,858,"Ipswich","Conservative"
"1135","Tom Pursglove","2017-2019",-0.0269378779549203,1819,"Corby","Conservative"
"1136","Tom Pursglove","2019-2024",-0.0869815668202765,1736,"Corby","Conservative"
"1137","Tom Randall","2019-2024",0.0306513409961686,522,"Gedling","Conservative"
"1138","Tom Tugendhat","2017-2019",-0.0930232558139535,43,"Tonbridge and Malling","Conservative"
"1139","Tom Tugendhat","2019-2024",0.0272435897435897,624,"Tonbridge and Malling","Conservative"
"1140","Tom Watson","2017-2019",-0.732837055417701,1209,"West Bromwich East","Labour"
"1141","Tommy Sheppard","2017-2019",-0.707196029776675,806,"Edinburgh East","Scottish National Party"
"1142","Tommy Sheppard","2019-2024",-0.813157894736842,1520,"Edinburgh East","Scottish National Party"
"1143","Tonia Antoniazzi","2017-2019",-0.67488201363398,1907,"Gower","Labour"
"1144","Tonia Antoniazzi","2019-2024",-0.656235182550972,2110,"Gower","Labour"
"1145","Tony Lloyd","2017-2019",-0.823899371069182,636,"Rochdale","Labour"
"1146","Tony Lloyd","2019-2024",-0.759230769230769,1300,"Rochdale","Labour"
"1147","Tracey Crouch","2017-2019",-0.192920353982301,565,"Chatham and Aylesford","Conservative"
"1148","Tracey Crouch","2019-2024",-0.248484848484848,495,"Chatham and Aylesford","Conservative"
"1149","Tracy Brabin","2017-2019",-0.730444362835108,2723,"Batley and Spen","Labour"
"1150","Tracy Brabin","2019-2024",-0.731563421828909,1695,"Batley and Spen","Labour"
"1151","Tulip Siddiq","2017-2019",-0.737248840803709,647,"Hampstead and Kilburn","Labour"
"1152","Tulip Siddiq","2019-2024",-0.813992226540811,1801,"Hampstead and Kilburn","Labour"
"1153","Valerie Vaz","2017-2019",-0.699115044247788,226,"Walsall South","Labour"
"1154","Valerie Vaz","2019-2024",-0.634615384615385,364,"Walsall South","Labour"
"1155","Vernon Coaker","2017-2019",-0.662745098039216,765,"Gedling","Labour"
"1156","Vicky Ford","2017-2019",-0.142443543717429,1727,"Chelmsford","Conservative"
"1157","Vicky Ford","2019-2024",-0.368301886792453,1325,"Chelmsford","Conservative"
"1158","Vicky Foxcroft","2017-2019",-0.740601503759398,532,"Lewisham, Deptford","Labour"
"1159","Vicky Foxcroft","2019-2024",-0.746900826446281,968,"Lewisham, Deptford","Labour"
"1160","Victoria Atkins","2019-2024",0.258064516129032,93,"Louth and Horncastle","Conservative"
"1161","Victoria Prentis","2017-2019",-0.0886392009987516,801,"Banbury","Conservative"
"1162","Victoria Prentis","2019-2024",-0.00512820512820513,780,"Banbury","Conservative"
"1163","Vince Cable","2017-2019",-0.706397306397306,1485,"Twickenham","Conservative"
"1164","Virendra Sharma","2017-2019",-0.7,520,"Ealing, Southall","Labour"
"1165","Virendra Sharma","2019-2024",-0.64308426073132,2516,"Ealing, Southall","Labour"
"1166","Wayne David","2017-2019",-0.595065312046444,689,"Caerphilly","Labour"
"1167","Wayne David","2019-2024",-0.603932584269663,712,"Caerphilly","Labour"
"1168","Wendy Chamberlain","2019-2024",-0.647058823529412,1768,"North East Fife","Liberal Democrats"
"1169","Wendy Morton","2017-2019",0.225,120,"Aldridge-Brownhills","Conservative"
"1170","Wendy Morton","2019-2024",-0.309426229508197,1464,"Aldridge-Brownhills","Conservative"
"1171","Wera Hobhouse","2017-2019",-0.82972582972583,2079,"Bath","Liberal Democrats"
"1172","Wera Hobhouse","2019-2024",-0.846360461993016,3723,"Bath","Liberal Democrats"
"1173","Wes Streeting","2017-2019",-0.696644920782852,4292,"Ilford North","Labour"
"1174","Wes Streeting","2019-2024",-0.7848850443888,4393,"Ilford North","Labour"
"1175","Will Quince","2017-2019",-0.0464582229288112,5662,"Colchester","Conservative"
"1176","Will Quince","2019-2024",-0.0641025641025641,2418,"Colchester","Conservative"
"1177","William Cash","2017-2019",0.433962264150943,159,"Stone","Conservative"
"1178","William Cash","2019-2024",0.833333333333333,18,"Stone","Conservative"
"1179","William Wragg","2017-2019",-0.154121863799283,279,"Hazel Grove","Conservative"
"1180","William Wragg","2019-2024",-0.168831168831169,308,"Hazel Grove","Conservative"
